"","parent_education","school","occupation","education","wage"
"2",10,1,"blue collar",12,1.84851779149143
"12",10,1,"blue collar",14,2.72506975954296
"19",10,1,"blue collar",14,2.72506975954296
"27",10,1,"retail",13,67.4216544460398
"34",10,3,"blue collar",15,7.17736219107131
"41",10,3,"Lawyer",16,2.29130335974973
"50",10,3,"teacher",17,6.74683955520237
"59",11,1,"academic",13,16.7732154276973
"64",11,1,"blue collar",13,58.1765079968195
"70",11,2,"Lawyer",14,13.659393832147
"74",11,2,"teacher",14,11.7678850973793
"93",11,3,"academic",15,5.52084518604896
"111",11,3,"Lawyer",17,2.20210891342592
"116",11,4,"teacher",17,27.7435231218996
"124",12,2,"Lawyer",13,10.6864812965882
"128",12,4,"blue collar",17,5.70055161478128
"132",12,4,"Lawyer",16,64.9086324297027
"137",12,4,"teacher",16,17.2829964902795
"146",12,5,"Lawyer",18,91.3186125964753
"149",13,2,"blue collar",15,7.05980350179015
"154",13,2,"blue collar",15,7.05980350179015
"159",13,2,"teacher",17,4.04025366911835
"165",13,3,"academic",14,11.2695420308992
"178",13,3,"Lawyer",15,93.4697006977435
"185",13,3,"teacher",11,20.9740437670908
"188",13,4,"academic",16,16.5868196021229
"202",13,4,"Lawyer",14,16.5020548820762
"206",13,4,"retail",14,1.96985337994516
"209",13,5,"academic",16,31.2472863674994
"215",13,5,"Lawyer",19,15.0516429988644
"220",14,1,"teacher",14,1.27084073083202
"225",14,2,"academic",15,4.21592375148858
"237",14,3,"Lawyer",14,17.8601914769364
"242",14,3,"teacher",14,1.60818822782463
"262",14,4,"blue collar",16,37.5861550112916
"267",14,4,"Lawyer",14,2.19340808979412
"274",14,4,"teacher",15,16.3513711469456
"285",14,4,"teacher",16,38.4124224070127
"293",14,4,"teacher",17,12.0230999258228
"305",14,5,"blue collar",16,7.63637581657645
"310",15,2,"academic",14,8.41654469293693
"323",15,2,"academic",15,46.7143050278037
"333",15,2,"retail",13,10.2670740226167
"337",15,2,"teacher",14,2.65825772184934
"345",15,2,"teacher",16,1.20093043906383
"349",15,3,"academic",16,84.2662130149814
"366",15,4,"academic",15,17.5933190239281
"379",15,4,"academic",17,74.7125190180466
"389",15,4,"blue collar",14,18.076405246752
"396",15,4,"Lawyer",14,50.8391736244319
"404",15,4,"teacher",16,13.1193465784327
"418",15,5,"Lawyer",15,6.89313774695074
"421",16,2,"academic",13,5.47715286342135
"428",16,2,"teacher",13,15.1997578682748
"435",16,3,"blue collar",15,35.3220037714959
"449",16,3,"Lawyer",14,29.3593456413202
"453",16,3,"teacher",14,10.1832815364545
"464",16,4,"teacher",15,48.9829706535059
"472",16,5,"academic",17,1.54052583152913
"481",16,5,"Lawyer",15,14.0475447315812
"487",16,5,"Lawyer",18,24.6324562357257
"493",17,2,"blue collar",15,2.03187075319828
"498",17,2,"teacher",12,19.5323192225424
"503",17,2,"teacher",16,1.40367618538664
"506",17,3,"blue collar",11,2.84543121850733
"510",17,3,"blue collar",16,9.7858141593442
"516",17,4,"academic",13,53.5848044080808
"530",17,4,"blue collar",13,9.86724752253974
"535",17,4,"Lawyer",19,5.7575551237618
"538",17,4,"teacher",15,63.1182354363325
"551",17,5,"academic",17,3.86839728945621
"559",17,5,"teacher",14,1.6906617437375
"567",18,3,"blue collar",13,1.01676522283078
"571",18,3,"teacher",16,7.81877682884063
"583",18,4,"Lawyer",16,7.72166437028188
"591",18,4,"teacher",16,51.2093630610371
"602",18,5,"Lawyer",13,1.75291721014009
