"","parent_education","school","occupation","education","wage"
"1",10,1,"blue collar",12,9.43903015590007
"11",10,1,"blue collar",14,23.0857169544806
"18",10,1,"blue collar",14,23.0857169544806
"26",10,1,"retail",13,3.68167311925626
"33",10,3,"blue collar",15,6.27367773660105
"40",10,3,"Lawyer",16,26.9243619410346
"49",10,3,"teacher",17,26.6336023240974
"58",11,1,"academic",13,1.82083895258971
"63",11,1,"blue collar",13,4.80533248372247
"69",11,2,"Lawyer",14,3.60889003082157
"73",11,2,"teacher",14,6.24357079128183
"92",11,3,"academic",15,2.64198417509782
"110",11,3,"Lawyer",17,95.8122457856683
"115",11,4,"teacher",17,13.3579438868751
"123",12,2,"Lawyer",13,14.2778693685819
"127",12,4,"blue collar",17,34.7709783413284
"131",12,4,"Lawyer",16,8.7790177958483
"136",12,4,"teacher",16,40.2986528103989
"145",12,5,"Lawyer",18,13.8469552370388
"148",13,2,"blue collar",15,8.3662329489444
"153",13,2,"blue collar",15,8.3662329489444
"158",13,2,"teacher",17,10.5539416446474
"164",13,3,"academic",14,2.15908748788108
"177",13,3,"Lawyer",15,9.86514615739189
"184",13,3,"teacher",11,10.0651772020454
"187",13,4,"academic",16,1.36522446017006
"201",13,4,"Lawyer",14,16.2459066998054
"205",13,4,"retail",14,55.624004396829
"208",13,5,"academic",16,14.7260080227658
"214",13,5,"Lawyer",19,16.6566672474663
"219",14,1,"teacher",14,5.33411014845722
"224",14,2,"academic",15,3.03119283057769
"236",14,3,"Lawyer",14,1.68366585534148
"241",14,3,"teacher",14,7.31921993240403
"261",14,4,"blue collar",16,18.3484864117351
"266",14,4,"Lawyer",14,21.3081098971803
"273",14,4,"teacher",15,27.3164024924121
"284",14,4,"teacher",16,4.37971881624938
"292",14,4,"teacher",17,75.7027573892755
"304",14,5,"blue collar",16,5.26901845780538
"309",15,2,"academic",14,6.39065550994257
"322",15,2,"academic",15,9.97689832676268
"332",15,2,"retail",13,8.10193489702046
"336",15,2,"teacher",14,3.69553481252353
"344",15,2,"teacher",16,35.7451925219511
"348",15,3,"academic",16,1.71504359929116
"365",15,4,"academic",15,93.6288638893868
"378",15,4,"academic",17,69.180950943252
"388",15,4,"blue collar",14,3.324431045269
"395",15,4,"Lawyer",14,20.1728055635863
"403",15,4,"teacher",16,6.17514561151777
"417",15,5,"Lawyer",15,2.49440035519455
"420",16,2,"academic",13,16.1646246868395
"427",16,2,"teacher",13,1.3956619893832
"434",16,3,"blue collar",15,9.63830769491119
"448",16,3,"Lawyer",14,2.54325744881346
"452",16,3,"teacher",14,40.2848635214881
"463",16,4,"teacher",15,2.8281125689327
"471",16,5,"academic",17,8.63022557514431
"480",16,5,"Lawyer",15,24.5625796456314
"486",16,5,"Lawyer",18,26.831850676243
"492",17,2,"blue collar",15,40.0560358834337
"497",17,2,"teacher",12,28.5288840927007
"502",17,2,"teacher",16,93.8233640893347
"505",17,3,"blue collar",11,15.2152622334333
"509",17,3,"blue collar",16,14.0696977081164
"515",17,4,"academic",13,13.1645969556419
"529",17,4,"blue collar",13,10.8443759328149
"534",17,4,"Lawyer",19,34.8380053427646
"537",17,4,"teacher",15,82.3956154205875
"550",17,5,"academic",17,5.02956950965236
"558",17,5,"teacher",14,64.5969015992847
"566",18,3,"blue collar",13,37.1244669824158
"570",18,3,"teacher",16,18.7548126216484
"582",18,4,"Lawyer",16,2.36343551775494
"590",18,4,"teacher",16,4.91559747276564
"601",18,5,"Lawyer",13,2.34686040617212
